"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Logging in as an unknown user is rejected with 403","4","Auth _ Login _ Unknown User","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Login_UnknownUser"
"GET /api/user without a token is rejected by the JWT middleware (400)","9","Auth _ Current User _ No Token","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_CurrentUser_NoToken"
"Creating an article without a token is rejected by the JWT middleware","3","Articles _ Create _ Unauthenticated","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Create_Unauthenticated"
"A non-author cannot update someone else's article (404) and the article is unchanged","235","Articles _ Update _ By Non Author","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Update_ByNonAuthor"
"Missing password fails validation with 422","16","Auth _ Register _ Missing Password","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_MissingPassword"
"Logging in with valid credentials returns 200 and a token","225","Auth _ Login _ Success","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Login_Success"
"SPEC: an invalid email format must be rejected (422). Documents bug #5 — runs RED.","108","Auth _ Register _ Invalid Email _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_InvalidEmail_SPEC"
"An authenticated user can create an article; the slug is derived from the title","111","Articles _ Create _ Success","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Create_Success"
"Registering a new user returns 201 with the user and a JWT","117","Auth _ Register _ Success","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_Success"
"Registering a duplicate email is rejected with 422","244","Auth _ Register _ Duplicate Email","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_DuplicateEmail"
"The author can delete their article; it is then unreadable","91","Articles _ Delete _ By Author","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Delete_ByAuthor"
"Missing username fails validation with 422 (username's validate tag is well-formed)","8","Auth _ Register _ Missing Username","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_MissingUsername"
"Deleting a non-existent article returns 404","95","Articles _ Delete _ Non Existent","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Delete_NonExistent"
"SPEC: registering without an email must be rejected (422). Documents bug #5 — runs RED.","91","Auth _ Register _ Missing Email _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_MissingEmail_SPEC"
"GET /api/user with a valid token returns 200 and the current user","157","Auth _ Current User _ With Token","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_CurrentUser_WithToken"
"The author can update their article; the slug is regenerated","116","Articles _ Update _ By Author","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Update_ByAuthor"
"Logging in with a wrong password is rejected with 403","198","Auth _ Login _ Wrong Password","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Login_WrongPassword"
"Reading a non-existent slug returns 404","6","Articles _ Get By Slug _ Not Found","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_GetBySlug_NotFound"
"Reading an article by slug is public and returns 200","129","Articles _ Get By Slug _ Public","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_GetBySlug_Public"
