"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creating an article without a token is rejected by the JWT middleware","8","Articles _ Create _ Unauthenticated","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Create_Unauthenticated"
"Unfavoriting drops the count back to 0","236","Favorites _ Unfavorite","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestFavorites_Unfavorite"
"An authenticated user can create an article; the slug is derived from the title","167","Articles _ Create _ Success","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Create_Success"
"Deleting a non-existent comment id returns 404","113","Comments _ Delete _ Missing","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Delete_Missing"
"Commenting without a token is rejected by the JWT middleware (400)","103","Comments _ Add _ Unauthenticated","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Add_Unauthenticated"
"Favoriting a non-existent article returns 404","136","Favorites _ Favorite _ Non Existent Article","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestFavorites_Favorite_NonExistentArticle"
"SPEC: limit+offset must page through results. Documents bug #1 — runs RED.","138","Articles _ List _ Pagination _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_List_Pagination_SPEC"
"Commenting on a non-existent article returns 404","174","Comments _ Add _ To Non Existent Article","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Add_ToNonExistentArticle"
"SPEC: ?favorited must filter to a user's favorites. Documents bug #1 — runs RED.","196","Articles _ List _ Filter By Favorited _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_List_FilterByFavorited_SPEC"
"Listing articles returns them all, newest first","87","Articles _ List _ Returns All Newest First","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_List_ReturnsAllNewestFirst"
"Logging in with valid credentials returns 200 and a token","218","Auth _ Login _ Success","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Login_Success"
"An authenticated user can comment on an article (201)","96","Comments _ Add _ By Authenticated User","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Add_ByAuthenticatedUser"
"SPEC: ?limit must cap page size. Documents bug #1 — runs RED.","121","Articles _ List _ Limit _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_List_Limit_SPEC"
"Registering a new user returns 201 with the user and a JWT","97","Auth _ Register _ Success","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_Success"
