"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"SPEC: an invalid email format must be rejected (422). Documents bug #5 — runs RED.","87","Auth _ Register _ Invalid Email _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_InvalidEmail_SPEC"
"The comment's author can delete it; it then disappears from the list","88","Comments _ Delete _ By Author","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Delete_ByAuthor"
"SPEC: a reader who favorited an article must see favorited=true on read. Documents bug #3 — runs RED.","170","Favorites _ Favorited Flag On Read _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestFavorites_FavoritedFlagOnRead_SPEC"
"SPEC: ?tag must filter by tag. Documents bug #1 — runs RED.","94","Articles _ List _ Filter By Tag _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_List_FilterByTag_SPEC"
"Reading a non-existent slug returns 404","5","Articles _ Get By Slug _ Not Found","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_GetBySlug_NotFound"
"Registering a new user returns 201 with the user and a JWT","87","Auth _ Register _ Success","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_Success"
"Commenting on a non-existent article returns 404","87","Comments _ Add _ To Non Existent Article","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Add_ToNonExistentArticle"
"SPEC: ?author must filter by author. Documents bug #1 — runs RED.","172","Articles _ List _ Filter By Author _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_List_FilterByAuthor_SPEC"
"An authenticated user can comment on an article (201)","87","Comments _ Add _ By Authenticated User","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Add_ByAuthenticatedUser"
"Deleting a non-existent article returns 404","86","Articles _ Delete _ Non Existent","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Delete_NonExistent"
"A non-author cannot delete someone else's comment (401)","176","Comments _ Delete _ By Non Author","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Delete_ByNonAuthor"
"Missing password fails validation with 422","4","Auth _ Register _ Missing Password","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_MissingPassword"
"Creating an article without a token is rejected by the JWT middleware","3","Articles _ Create _ Unauthenticated","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Create_Unauthenticated"
"The author can delete their article; it is then unreadable","88","Articles _ Delete _ By Author","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Delete_ByAuthor"
"Logging in with a wrong password is rejected with 403","177","Auth _ Login _ Wrong Password","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Login_WrongPassword"
"The author can update their article; the slug is regenerated","92","Articles _ Update _ By Author","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Update_ByAuthor"
"Listing articles returns them all, newest first","88","Articles _ List _ Returns All Newest First","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_List_ReturnsAllNewestFirst"
"Deleting a non-existent comment id returns 404","87","Comments _ Delete _ Missing","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Delete_Missing"
"Registering a duplicate email is rejected with 422","170","Auth _ Register _ Duplicate Email","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_DuplicateEmail"
"SPEC: registering without an email must be rejected (422). Documents bug #5 — runs RED.","82","Auth _ Register _ Missing Email _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_MissingEmail_SPEC"
"Logging in with valid credentials returns 200 and a token","161","Auth _ Login _ Success","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Login_Success"
"A non-author cannot update someone else's article (404) and the article is unchanged","179","Articles _ Update _ By Non Author","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Update_ByNonAuthor"
"Favoriting without a token is rejected by the JWT middleware (400)","89","Favorites _ Favorite _ Unauthenticated","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestFavorites_Favorite_Unauthenticated"
"SPEC: limit+offset must page through results. Documents bug #1 — runs RED.","89","Articles _ List _ Pagination _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_List_Pagination_SPEC"
"SPEC: a datastore error must yield 500, not crash the process. Documents bug #2 — runs RED.","111","Comments _ Delete _ Crashes On DB Error _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Delete_CrashesOnDBError_SPEC"
"Favorites from distinct users accumulate in favoritesCount","265","Favorites _ Count Accumulates Across Users","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestFavorites_CountAccumulatesAcrossUsers"
"An authenticated user can create an article; the slug is derived from the title","101","Articles _ Create _ Success","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Create_Success"
"Logging in as an unknown user is rejected with 403","3","Auth _ Login _ Unknown User","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Login_UnknownUser"
"SPEC: ?limit must cap page size. Documents bug #1 — runs RED.","94","Articles _ List _ Limit _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_List_Limit_SPEC"
"Reading an article by slug is public and returns 200","89","Articles _ Get By Slug _ Public","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_GetBySlug_Public"
"GET /api/user with a valid token returns 200 and the current user","87","Auth _ Current User _ With Token","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_CurrentUser_WithToken"
