"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A user can favorite an article; the write response reflects favorited=true and count=1","111","Favorites _ Favorite _ By User","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestFavorites_Favorite_ByUser"
"An authenticated user can comment on an article (201)","72","Comments _ Add _ By Authenticated User","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Add_ByAuthenticatedUser"
"The author can delete their article; it is then unreadable","80","Articles _ Delete _ By Author","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Delete_ByAuthor"
"Unfavoriting drops the count back to 0","123","Favorites _ Unfavorite","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestFavorites_Unfavorite"
"SPEC: a reader who favorited an article must see favorited=true on read. Documents bug #3 — runs RED.","147","Favorites _ Favorited Flag On Read _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestFavorites_FavoritedFlagOnRead_SPEC"
"Deleting a non-existent article returns 404","49","Articles _ Delete _ Non Existent","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Delete_NonExistent"
"Logging in with a wrong password is rejected with 403","161","Auth _ Login _ Wrong Password","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Login_WrongPassword"
"GET /api/user with a valid token returns 200 and the current user","61","Auth _ Current User _ With Token","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_CurrentUser_WithToken"
"A non-numeric comment id is rejected with 400","81","Comments _ Delete _ Non Numeric ID","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Delete_NonNumericID"
"The comment's author can delete it; it then disappears from the list","50","Comments _ Delete _ By Author","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Delete_ByAuthor"
"Favoriting a non-existent article returns 404","85","Favorites _ Favorite _ Non Existent Article","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestFavorites_Favorite_NonExistentArticle"
"A non-author cannot update someone else's article (404) and the article is unchanged","107","Articles _ Update _ By Non Author","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Update_ByNonAuthor"
"Missing username fails validation with 422 (username's validate tag is well-formed)","2","Auth _ Register _ Missing Username","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_MissingUsername"
"Registering a new user returns 201 with the user and a JWT","53","Auth _ Register _ Success","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_Success"
"Logging in with valid credentials returns 200 and a token","142","Auth _ Login _ Success","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Login_Success"
